City,Name,Latitude,Longitude,Store Number,Street Combined,Postal Code,Country Subdivision,Country,Ownership Type,nearest_store_number,nearest_store_distance_km
Pittsfield,Carpenter Rd.,42.23716354370117,-83.68087005615234,13531-106377,3650 Carpenter Rd.,48104,MI,US,CO,18954-194328,0.2
Wilmette,1515 N. Sheridan - Wilmette,42.08649826049805,-87.70033264160156,224-119704,"1515 North Sheridan, Building 4",600911822,IL,US,CO,10453-101024,1.3
Sparks,S McCarran & E Greg St - Sparks,39.52065658569336,-119.74072265625,10913-101634,"1560 S. Stanford Way, Suite A",894316331,NV,US,CO,75361-102358,2.1
Yuba City,Hwy 20 & Tharp - Yuba City,39.14199447631836,-121.64456939697266,14071-108147,"1615 Colusa Hwy, Ste 100, Sutter Buttes Marketplace",959939437,CA,US,CO,6586-188144,0.6
OFallon,Greenmount & I-64,38.57329559326172,-89.93064880371094,14263-116745,1126 Central Park Drive,622691769,IL,US,CO,76924-127273,4.7
Metairie,Veterans Blvd & Kingman St,30.004295349121094,-90.18016052246094,11875-105707,4312 Veterans Blvd.,70006,LA,US,CO,17959-186644,2.2
San Luis Obispo,Higuera & Tank Farm,35.24550247192383,-120.67328643798828,14426-120264,3971 S. Higuera Street,934011580,CA,US,CO,15779-156022,1.5
Wheat Ridge,"50th and Kipling-Wheatridge, CO",39.786865234375,-105.110107421875,13822-108298,4975 Kipling St,800332340,CO,US,CO,76471-97424,0.2
Denver,Hampden & Dayton - Denver,39.65342330932617,-104.8729248046875,11034-104012,9925 East Hampden Ave,802314903,CO,US,CO,10114-93216,2.1
Fort Wayne,Dupont & Auburn,41.1783447265625,-85.11387634277344,13343-106747,2132 East Dupont Road,468251584,IN,US,CO,22895-223904,1.8
Danbury,Danbury Fair Mall,41.380027770996094,-73.48099517822266,14159-108196,"7 Backus Avenue, Danbury Fair Mall",068107422,CT,US,CO,28576-249788,0.4
Rockford,State & Bell,42.27070236206055,-88.9708480834961,13888-108514,7474 East State Street,611082644,IL,US,CO,24588-235927,1.5
Burr Ridge,Burr Ridge-I-55 & County Line Rd,41.75210189819336,-87.91291809082031,13442-106592,515 Village Center Dr.,605274516,IL,US,CO,11625-104858,2.7
Montgomery,Montgomery-Orchard & Rte 30,41.71916580200195,-88.37416076660156,13371-106590,2080 Orchard Rd.,605381059,IL,US,CO,9707-96114,5.4
Westminster,Crossroads Square,39.56288528442383,-76.97272491455078,14111-113348,"625R Baltimore Blvd., Crossroads Square",211576121,MD,US,CO,76724-101396,0.5
Branson,Sycamore & Main,36.64411163330078,-93.21574401855469,11520-103609,201 East Main Street,656162715,MO,US,CO,16524-162468,3.0
Kew Gardens,118-24 Queens Blvd,40.71437072753906,-73.83187866210938,11933-106885,118-24 Queens Blvd,11415,NY,US,CO,7349-910,1.3
Calhoun,Hwy 53 E & Richardson Rd,34.47349548339844,-84.92524719238281,13430-107460,605 Highway 53,307013919,GA,US,CO,79479-99189,32.3
Kyle,Hwy 1626 & I 35,30.01559066772461,-97.8635025024414,14349-113650,"5401 South FM 1626, Kyle Marketplace",786406038,TX,US,CO,5115-147310,2.8
Marana,Fry's #689 Marana,32.40660095214844,-111.2959976196289,73868-106710,12100 North Thorneydale Road,856584755,AZ,US,LS,74379-83392,15.4
Sahuarita,Fry's #679 Suahrita,31.960369110107422,-110.98628234863281,73867-106707,15950 South Rancho Sahuarita,856298010,AZ,US,LS,74331-82241,6.6
Selbyville,Harris Teeter-Selbyville #327,38.46995544433594,-75.11410522460938,73836-100578,31221 Americana Parkway,199753785,DE,US,LS,79396-97468,8.5
Dulles,Dulles Town Center - kiosk,39.03190612792969,-77.42396545410156,13930-113465,"21100 Dulles Town Circle, Dulles Town Center - kiosk",201662437,VA,US,CO,28376-249967,0.0
"Kent,",Fred Meyer - Redondo #215,47.3742561340332,-122.29883575439453,73843-108254,25250 Pacific Highway South,980326539,WA,US,LS,13729-108005,1.2
Newport Coast,Newport Coast & San Joaquin Hills,33.60823440551758,-117.827392578125,14156-112404,"21155 Newport Coast Drive, Newport Coast Shopping Center",926571123,CA,US,CO,74556-77464,0.1
Tarzana,Ventura Blvd & Shirley,34.17292785644531,-118.55706787109375,11779-106400,19439 Ventura Blvd,913563030,CA,US,CO,5487-1616,1.2
